0x4a64320, 0x4a64430
0x4a7c530 [label="b"];
"];
0x4a7ddb0 [label="=0x4a7dcf0 [label="exp"];
0x4a7dc80 [label="||0x4a7cb40 [label="&&0x4a7c920 [label="a"];
0x4a7cad0 [label="b"];
"];
0x4a7dc10 [label="|0x4a7ce20 [label="&0x4a7cc50 [label="c"];
0x4a7cd60 [label="d"];
"];
0x4a7db50 [label="==0x4a7d9d0 [label="!=0x4a7d7b0 [label="<=0x4a7d590 [label=">=0x4a7d370 [label="<0x4a7d100 [label=">0x4a7cf30 [label="f"];
0x4a7d040 [label="g"];
"];
0x4a7d2b0 [label="h"];
"];
0x4a7d520 [label="i"];
"];
0x4a7d740 [label="j"];
"];
0x4a7d960 [label="k"];
"];
0x4a7dae0 [label="l"];
"];
"];
"];
0x4a7f490 [label="=0x4a7f3d0 [label="exp"];
0x4a7f360 [label="&&0x4a7e000 [label="a"];
0x4a7f2f0 [label="==0x4a7f170 [label="<=0x4a7ec90 [label="||0x4a7e1b0 [label="b"];
0x4a7ec20 [label="|0x4a7e490 [label="&0x4a7e2c0 [label="c"];
0x4a7e3d0 [label="d"];
"];
0x4a7eb60 [label=">=0x4a7e940 [label="<0x4a7e770 [label=">0x4a7e5a0 [label="f"];
0x4a7e6b0 [label="g"];
"];
0x4a7e880 [label="h"];
"];
0x4a7eaf0 [label="i"];
"];
"];
"];
0x4a7f060 [label="!=0x4a7eee0 [label="j"];
0x4a7eff0 [label="k"];
"];
"];
0x4a7f280 [label="l"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
0x4a81660 [label="tern_expressions0x4a7fb90 [label="=0x4a7fad0 [label="exp"];
0x4a7fa60 [label="?:0x4a7f710 [label="-0x4a7f7d0 [label="1"];
"];
0x4a7f890 [label="2"];
0x4a7f950 [label="3"];
"];
0x4a815f0 [label="=0x4a81530 [label="exp"];
0x4a814c0 [label="?:0x4a800e0 [label=">0x4a7ff60 [label="call soma"];
0x4a80020 [label="10"];
"];
0x4a80c90 [label="?:0x4a80520 [label=">0x4a803a0 [label="call soma"];
0x4a80460 [label="20"];
"];
0x4a808f0 [label="call avalia"];
0x4a80b80 [label="^0x4a80a00 [label="a"];
0x4a80ac0 [label="4"];
"];
"];
0x4a813b0 [label="?:0x4a81080 [label="<0x4a80f00 [label="call soma"];
0x4a80fc0 [label="5"];
"];
0x4a81190 [label="t"];
0x4a812a0 [label="t"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
finished exportafinished libera
